,ASIN,タイトル,価格,説明,URL,サムネイルURLs
0,B007SKYD9E,コノスル ピノノワール ヴァラエタル 業務用１２本セット,8968.0,商品の説明      ブランドヒストリー ”コノスル”とは「南の円錐」という意味で、南向きの円錐の形をした南米大陸から世界に向けてニューワールドワインの魅力を発信していこうというヴィジョンをもって1993年に設立されました。設立後十数年のうちに、チリ第2位の輸出量を誇るまでの大ブランドに成長したコノスルですが、その成長の原動力であり、コノスルの理念でもある「イノヴェーション(革新的であること)」を常に追い求める姿勢は、スクリューキャップの導入、ビオビオやレイダなど新興産地においての自社畑拡大、サステイナブル農法や有機栽培の実践、など、時代に先駆けて行われてきた数々の取り組みにあらわれています。リーズナブルな価格で高品質&高コストパフォーマンスのコノスルワインは、各種コンクール等の賞やワイン誌での高い評価を国内外で獲得しており、農夫達のハードワークと有機栽培畑のシンボルである「自転車」ラベルで親しまれています   常に時代を先取りする”イノベーティブ”な生産者「コノスル」の、ハイ・コストパフォーマンスなヴァラエタルワイン。60%をフレンチオーク樽(インナーステーヴ、もしくは樽)、40%をステンレスタンクで7ヶ月熟成。複雑で豊かな味わいのワイン。      ご注意（免責）＞必ずお読みください      【こちらの商品は当店より発送の際、最大2ケースまでの発送となります。混載含め2ケース以上ご購入の場合、一旦キャンセルとさせて頂きますのでご注意下さい。】,https://https://www.amazon.co.jp/dp/B007SKYD9E,['https://m.media-amazon.com/images/I/51OwqNN7XBL.jpg']
1,B002LEXKVE,高畠ワイナリー 嘉スパークリングオレンジマスカット [ NV スパークリング 甘口 日本 200ml ],660.0,商品紹介      オーストラリアの大地で育った、華やかで香り高い甘美な葡萄オレンジマスカット種。高畠ワイナリー向けに作っていただいているぶどうで、国内で使用しているところは極めて少なく希少な品種でもあります。このオレンジマスカットから造られるワインは、芳醇な香りが広がり甘美で上品な優しい甘さの甘口ワインです。繊細で持続的に立ち上がる華やかな泡がパーティーでの乾杯にも人気の1本です。      原材料・成分      葡萄,https://https://www.amazon.co.jp/dp/B002LEXKVE,['https://m.media-amazon.com/images/I/31NKUrebLNL.jpg']
2,B001M2FIV6,トラピチェ オークカスク マルベック [ 赤ワイン フルボディ アルゼンチン 750ml ],1347.0,"商品紹介          トラピチェは、1883年、アメリカ大陸最高峰アコンカグア山(6,959m)を擁するアンデス山麓メンドーサ州に誕生し、国際舞台にいち早く躍り出たワイナリーの一つです。以来、その時代のヨーロッパの先進技術を取り入れながら、やがてアルゼンチンの風土・気候にあった独自のワイン造りを確立し、常にアルゼンチンワインの評価を一新し続けてきました。『オークカスク』は、オークの香りと果実味のベストバランスを追求したシリーズです。濃い紫色、プラムやブラックチェリー、わずかにコショウのニュアンス、柔らかくなめからかな口当たり、             原材料・成分          ぶどう",https://https://www.amazon.co.jp/dp/B001M2FIV6,"['https://m.media-amazon.com/images/I/31+11l8qmoL.jpg', 'https://m.media-amazon.com/images/I/51QjC0nr7yL.jpg', 'https://m.media-amazon.com/images/I/51MvUcKjdOL.jpg', 'https://m.media-amazon.com/images/I/615SvFwCMmL.jpg', 'https://m.media-amazon.com/images/I/514NZX+k3fL.jpg', 'https://m.media-amazon.com/images/I/512LT+7a99L.jpg']"
3,B01CE0TYLY,【淡麗辛口 すっきりタイプ】月桂冠 辛口パック [ 日本酒 京都府 2L ],1248.0,商品紹介      辛口好きの日本酒愛好家に向けた本格タイプの「辛口」シリーズのお買い得な2000mlパック商品。米本来の旨みと口の中にベタつきが残らないすっきりしたあと味が特徴の淡麗辛口のお酒です。口当たりがすっきりとしているため、様々な料理との相性がよく、飲み方も冷酒から常温・燗酒まで幅広い飲み方でお楽しみいただけます。      原材料・成分      米(国産)、米こうじ(国産米)、醸造アルコール,https://https://www.amazon.co.jp/dp/B01CE0TYLY,"['https://m.media-amazon.com/images/I/41trk3OhWvL.jpg', 'https://m.media-amazon.com/images/I/41n0sG3YPqL.jpg', 'https://m.media-amazon.com/images/I/51o4jzWtN0L.jpg', 'https://m.media-amazon.com/images/I/51Z01o9OGkL.jpg', 'https://m.media-amazon.com/images/I/51qRYcb3j-L.jpg', 'https://m.media-amazon.com/images/I/51h58d+zLbL.jpg', 'https://m.media-amazon.com/images/I/51feAvA+tzL.jpg']"
